districtCode,officeCode,district,townList,districtImage,members
1,REP,Addison-1,Middlebury,http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-1.pdf,2
2,REP,Addison-2,"Cornwall, Goshen, Hancock, Leicester, Ripton, Salisbury",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-2.pdf,1
3,REP,Addison-3,"Addison, Ferrisburgh, Panton, Vergennes, Waltham",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-3.pdf,2
4,REP,Addison-4,"Bristol, Lincoln, Monkton, Starksboro",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-4.pdf,2
5,REP,Addison-5,"Bridport, New Haven, Weybridge",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-5.pdf,1
6,REP,Addison-Rutland,"Benson, Orwell, Shoreham, Whiting",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ADD-RUT.pdf,1
7,REP,Bennington-1,"Pownal, Woodford",http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-1.pdf,1
8,REP,Bennington-2-1,Bennington,http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-2-1.pdf,2
9,REP,Bennington-2-2,Bennington,http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-2-2.pdf,2
10,REP,Bennington-3,"Glastenbury, Shaftsbury, Sunderland",http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-3.pdf,1
11,REP,Bennington-4,"Arlington, Manchester, Sandgate, Sunderland",http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-4.pdf,2
12,REP,Bennington-Rutland,"Danby, Dorset, Landgrove, Mount Tabor, Peru",http://www.leg.state.vt.us/Reapportionment/SmallMaps/BEN-RUT.pdf,1
13,REP,Caledonia-1,"Barnet, Ryegate, Waterford",http://www.leg.state.vt.us/Reapportionment/SmallMaps/CAL-1.pdf,1
14,REP,Caledonia-2,"Hardwick, Stannard, Walden",http://www.leg.state.vt.us/Reapportionment/SmallMaps/CAL-2.pdf,1
15,REP,Caledonia-3,St. Johnsbury,http://www.leg.state.vt.us/Reapportionment/SmallMaps/CAL-3.pdf,2
16,REP,Caledonia-4,"Burke, Lyndon, Sutton",http://www.leg.state.vt.us/Reapportionment/SmallMaps/CAL-4.pdf,2
17,REP,Caledonia-Washington,"Cabot, Danville, Peacham",http://www.leg.state.vt.us/Reapportionment/SmallMaps/CAL-WAS.pdf,1
18,REP,Chittenden-1,Richmond,http://www.leg.state.vt.us/Reapportionment/SmallMaps/CHI-1.pdf,1
