featureName,gnisId,gnisClass,county,state,latitude,longitude,elevation,map,bgnDate,entryDate
Adamant,1456106,Populated Place,Washington,VT,441945N,0723010W,1053,Montpelier,,10/29/1980
Adams Grist Mill (historical),1920824,Locale,Windham,VT,430752N,0722634W,239,Bellows Falls,,5/8/2001
Adams Landing,1460478,Populated Place,Grand Isle,VT,444410N,0731955W,125,South Hero,,10/29/1980
Addison,1456113,Populated Place,Addison,VT,440519N,0731809W,285,Snake Mountain,,10/29/1980
Addison County,1461757,Civil,Addison,VT,440151N,0730827W,364,Middlebury,,2/1/1993
Addison Gardens,2723154,Locale,Addison,VT,440827N,0731618W,276,Vergennes West,,5/8/2012
Agenyateonnia (historical),1918555,Populated Place,Chittenden,VT,Unknown,Unknown,,Unknown,,5/8/2001
Albany,1456118,Populated Place,Orleans,VT,444351N,0722247W,951,Albany,,10/29/1980
Albany Center,1460391,Populated Place,Orleans,VT,444412N,0722058W,1280,Craftsbury,,10/29/1980
Alburg,1456120,Populated Place,Grand Isle,VT,445830N,0731800W,125,Rouses Point,,10/29/1980
Alburg Center,1456121,Populated Place,Grand Isle,VT,445713N,0731611W,121,Rouses Point,,10/29/1980
Alburg Country Club,1461784,Locale,Grand Isle,VT,445427N,0731818W,141,Rouses Point,,10/29/1980
Alburg Rouses Point Ferry (historical),1918503,Locale,Grand Isle,VT,445955N,0732039W,95,Rouses Point,,5/8/2001
Alburg Springs,1456123,Populated Place,Grand Isle,VT,445931N,0731322W,128,East Alburg,,10/29/1980
Alburg Travel Trailer Park,1918506,Populated Place,Grand Isle,VT,445744N,0731453W,108,East Alburg,,5/8/2001
Alburg-Swanton Ferry (historical),1918507,Locale,Grand Isle,VT,445823N,0731312W,95,East Alburg,,5/8/2001
Alfrecha,1456137,Populated Place,Rutland,VT,433351N,0725821W,558,Rutland,,10/29/1980
Algiers (historical),2027188,Populated Place,Windham,VT,424900N,0723358W,502,Brattleboro,,2/5/2004
Algonquin Camp,1456139,Locale,Chittenden,VT,443907N,0731245W,128,Georgia Plains,,10/29/1980
Allandra Farm,2723107,Locale,Addison,VT,441036N,0731236W,318,Vergennes East,,5/8/2012
Allendale Farm,2723106,Locale,Addison,VT,440934N,0732005W,174,Vergennes West,,5/8/2012
Alpine Village,1460527,Populated Place,Washington,VT,440407N,0725003W,1660,Warren,,10/29/1980
Ames Hill,1456154,Populated Place,Windham,VT,425117N,0724115W,1745,Governors Mountain,,10/29/1980
Amsden,1456159,Populated Place,Windsor,VT,432421N,0723021W,584,Cavendish,,10/29/1980
Anchor Island Marina,1918511,Locale,Grand Isle,VT,445304N,0731620W,95,Rouses Point,,5/8/2001
