personId,seat,name,district,currentParty,lastName,firstName,middleName,preferredName,homeTown,firstTerm,birthTown,birthState,birthCountry,birthMonth,birthDay,birthYear,phoneOffice,phoneCell,phoneHome,address1,address2,city,state,zip
206,11,Timothy Ashe,Chittenden,D/P,Ashe,Timothy,,,,,,,,,,,,,,,,,,
207,18,Claire Ayer,Addison,D,Ayer,Claire,,,,,,,,,,,,,,,,,,
208,12,Philip Baruth,Chittenden,D,Baruth,Philip,,,,,,,,,,,,,,,,,,
209,27,Joseph Benning,Caledonia,R,Benning,Joseph,,,,,,,,,,,,,,,,,,
210,19,Christopher Bray,Addison,D,Bray,Christopher,,,,,,,,,,,,,,,,,,
211,15,John Campbell,Windsor,D,Campbell,John,,,,,,,,,,,,,,,,,,
212,21,Donald Collins,Franklin,D,Collins,Donald,,,,,,,,,,,,,,,,,,
213,29,Ann Cummings,Washington,D,AnnCummings,Ann,,,,,,,,,,,,,,,,,,
214,30,William Doyle,Washington,R,Doyle,William,,,,,,,,,,,,,,,,,,
215,24,Margaret Flory,Rutland,R,Flory,Margaret,,,,,,,,,,,,,,,,,,
216,9,Sally Fox,Chittenden,D,Fox,Sally,,,,,,,,,,,,,,,,,,
217,23,Eldred French,Rutland,D,French,Eldred,,,,,,,,,,,,,,,,,,
218,17,Peter Galbraith,Windham,D,Galbraith,Peter,,,,,,,,,,,,,,,,,,
219,5,Robert Hartwell,Bennington,D,Hartwell,Rober,,,,,,,,,,,,,,,,,,
220,26,M. Jane Kitchel,Caledonia,D,Kitchel,M. Jane,,,,,,,,,,,,,,,,,,
221,7,Virginia Lyons,Chittenden,D,Lyons,Virginia,,,,,,,,,,,,,,,,,,
222,4,Mark MacDonald,Orange,D,MacDonald,Mark,,,,,,,,,,,,,,,,,,
223,25,Richard Mazza,Chittenden-Grand Isle,D,Mazza,Richard,,,,,,,,,,,,,,,,,,
224,20,Norman McAllister,Franklin,R,McAllister,Norman,,,,,,,,,,,,,,,,,,
225,13,Richard McCormack,Windsor,D,McCormack,Richard,,,,,,,,,,,,,,,,,,
226,22,Kevin Mullin,Rutland,R,Mullin,Kevin,,,,,,,,,,,,,,,,,,
227,14,Alice Nitka,Windsor,D,Nitka,Alice,,,,,,,,,,,,,,,,,,
228,28,Anthony Pollina,Washington,P/D/W,Pollina,Anthony,,,,,,,,,,,,,,,,,,
229,3,John Rodgers,Essex-Orleans,D,Rodgers,John,,,,,,,,,,,,,,,,,,
230,6,Richard Sears,Bennington,D,Sears,Richard,,,,,,,,,,,,,,,,,,
231,8,Diane Snelling,Chittenden,R,Snelling,Diane,,,,,,,,,,,,,,,,,,
232,2,Robert Starr,Essex-Orleans,D,Starr,Rober,,,,,,,,,,,,,,,,,,
233,1,Richard Westman,Lamoille,R,Westman,Richard,,,,,,,,,,,,,,,,,,
234,16,Jeanette White,Windham,D,White,Jeanette,,,,,,,,,,,,,,,,,,
235,10,David Zuckerman,Chittenden,P,Zuckerman,David,,,,,,,,,,,,,,,,,,
